28,38,1
0,8,1
8,12,1
12,18,1
29,39,1
39,43,1
43,49,1
49,54,1
13,19,1
14,20,1
44,50,1
50,55,1
3,9,1
9,15,1
15,21,1
21,26,1
26,32,1
33,40,1
40,46,1
46,51,1
51,56,1
4,10,1
10,16,1
16,22,1
22,27,1
27,34,1
35,41,1
41,47,1
47,52,1
52,57,1
7,11,1
11,17,1
17,25,1
37,42,1
42,48,1
48,53,1
53,59,1
0,1,1
1,2,1
2,3,1
4,5,1
5,6,1
6,7,1
12,13,1
13,14,1
14,15,1
18,19,1
19,20,1
20,21,1
22,23,1
23,24,1
24,25,1
28,29,1
29,30,1
30,31,1
31,32,1
32,33,1
33,34,1
34,35,1
35,36,1
36,37,1
38,39,1
44,45,1
45,46,1
57,58,1
58,59,1
1,8,1
13,18,1
9,14,1
14,19,1
15,20,1
29,38,1
5,10,1
30,39,1
26,31,1
23,27,1
27,33,1
17,24,1
34,40,1
40,45,1
45,50,1
36,41,1
53,58,1
6,11,1
16,23,1
2,9,1
36,42,1
27,35,1
14,21,1
34,41,1
8,13,1
13,20,1
20,26,1
26,33,1
12,19,1
32,40,1
52,58,1
45,51,1
28,39,1
38,43,1
